French,English
partie,part
histoire,history
chercher,search
seulement,only
genre,kind
frère,brother
car,because
aucun,no
ville,city
parlé,speak
arrivé,come
bébé,baby
pendant,while
revoir,meet again
parle,speak
attention,Warning
pourrais,could
donner,give
leurs,their
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
perdu,lost
main,hand
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
attendez,Wait
parti,left
boulot,job
croire,believe
chérie,sweetheart
gros,large
filles,girls
bureau,office
